"Country","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","ISO"
"Nauru","101","89","97","76","100","109","131","125","125","149","181","161","168","NRU"
"Nepal","21,703","22,162","22,722","24,361","24,524","28,972","33,112","34,186","33,434","36,927","41,183","41,048","42,914","NPL"
"Netherlands","846,225","883,964","901,789","775,822","796,944","847,934","930,155","929,006","931,814","1,055,173","1,047,364","1,135,803","1,214,562","NLD"
"New Zealand","175,315","187,226","200,224","176,375","185,978","203,663","209,489","210,962","210,840","249,720","245,165","253,650","258,827","NZL"
"Nicaragua","10,532","10,983","11,880","12,757","13,286","13,786","13,025","12,713","12,730","14,208","15,634","17,813","19,697","NIC"
"Niger","9,412","10,206","10,830","9,684","10,350","11,181","12,814","12,917","13,764","14,923","15,458","16,809","19,866","NER"
"Nigeria","657,854","734,890","811,134","696,088","570,351","529,144","593,897","668,219","598,725","609,479","645,682","487,347","252,109","NGA"
"North Macedonia","9,751","10,824","11,378","10,067","10,686","11,336","12,694","12,609","12,385","14,008","13,957","15,864","16,954","MKD"
"Norway","525,084","540,133","515,830","400,669","383,284","415,673","454,589","424,245","382,253","521,592","617,322","502,198","500,886","NOR"
"Oman","87,409","89,936","92,699","78,711","75,129","80,857","91,506","88,061","75,909","87,324","109,853","106,175","107,137","OMN"
"Pakistan","250,094","258,674","271,422","299,930","313,623","339,229","356,163","321,071","300,410","348,481","374,850","336,555","372,243","PAK"
"Palau","215","226","245","283","303","290","288","282","259","236","247","276","322","PLW"
"Panama","41,595","46,949","51,427","55,768","59,761","64,328","67,316","69,779","57,060","67,396","76,479","83,812","86,524","PAN"
"Papua New Guinea","21,295","21,261","23,211","21,723","20,759","22,743","24,110","24,751","23,848","26,113","31,653","30,729","30,756","PNG"
"Paraguay","33,296","38,651","40,378","36,211","36,090","38,997","40,225","37,925","35,432","39,937","41,841","43,140","44,739","PRY"
"Peru","193,268","201,568","203,671","193,344","198,818","220,090","229,550","236,263","209,057","228,704","248,179","272,755","295,220","PER"
"Philippines","261,920","283,903","297,484","306,446","318,627","328,481","346,842","376,823","361,751","394,087","404,353","437,055","461,617","PHL"
"Poland","498,149","518,180","542,266","479,729","472,883","528,497","594,641","602,592","605,930","689,253","695,734","812,959","917,623","POL"
"Portugal","216,674","226,681","230,138","199,059","206,249","220,785","242,203","240,142","229,435","256,226","257,101","292,408","313,562","PRT"
"Puerto Rico","101,565","102,450","102,446","103,376","104,337","103,446","100,958","105,126","103,131","106,427","113,844","118,375","125,842","PRI"
"Qatar","186,834","198,728","206,225","161,740","151,732","161,099","183,335","176,371","144,411","179,732","235,709","217,309","219,163","QAT"
"Romania","179,228","189,839","199,989","177,878","185,337","210,530","241,973","250,056","250,961","285,275","295,891","347,829","382,650","ROU"
"Russia","2,191,486","2,288,428","2,048,837","1,356,703","1,280,648","1,575,140","1,653,005","1,695,724","1,488,118","1,828,927","2,296,410","2,034,681","2,185,848","RUS"
"Rwanda","7,557","7,714","8,130","8,451","8,597","9,165","9,651","10,519","10,488","11,250","13,744","14,805","15,111","RWA"
"Samoa","773","798","797","824","844","885","878","913","869","860","890","1,045","1,176","WSM"
"San Marino","1,606","1,678","1,674","1,420","1,468","1,528","1,656","1,616","1,543","1,857","1,833","2,028","2,086","SMR"
